image,predicted_labels
../data/cropped_persons\person_-1_000105_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, carryingMessengerBag, accessoryNothing, hairShort, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_-1_000186_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, upperBodyLongSleeve, lowerBodyTrousers, footwearBlack, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_-1_000683_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, footwearShoes, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, upperBodyBlue"
../data/cropped_persons\person_-1_000945_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, footwearShoes, upperBodyShortSleeve, hairBlack, upperBodyBlue"
../data/cropped_persons\person_-1_001022_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, carryingNothing, footwearShoes, footwearWhite, hairBlack, upperBodyBlue"
../data/cropped_persons\person_-1_001562_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, accessoryNothing, lowerBodyTrousers, hairBlack, upperBodyBlack"
../data/cropped_persons\person_-1_001748_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, hairBlack"
../data/cropped_persons\person_-1_001833_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, hairBlack, upperBodyBlue"
../data/cropped_persons\person_-1_002114_1.jpg,"lowerBodyCasual, upperBodyCasual, accessoryNothing, lowerBodyWhite"
../data/cropped_persons\person_-1_002560_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_003357_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, hairShort, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_003599_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, hairShort, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_003876_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlue"
